Episode 4030, Total Reward: 238.83
Episode 4040, Total Reward: 257.24
Episode 4050, Total Reward: 286.38
Episode 4060, Total Reward: 222.63
Episode 4070, Total Reward: 218.24
Episode 4080, Total Reward: 198.50
Episode 4090, Total Reward: 213.26
Episode 4100, Total Reward: 328.99
Episode 4110, Total Reward: 264.57
Episode 4120, Total Reward: 198.79
Episode 4130, Total Reward: 228.52
Episode 4140, Total Reward: 258.40
Episode 4150, Total Reward: 194.10
Episode 4160, Total Reward: 324.32
Episode 4170, Total Reward: 282.33
Episode 4180, Total Reward: 212.86
Episode 4190, Total Reward: 249.91
Episode 4200, Total Reward: 237.74
Episode 4210, Total Reward: 254.29
Episode 4220, Total Reward: 174.72
Episode 4230, Total Reward: 262.83
Episode 4240, Total Reward: 229.66
Episode 4250, Total Reward: 261.33
Episode 4260, Total Reward: 216.06
Episode 4270, Total Reward: 238.74
Episode 4280, Total Reward: 300.14
Episode 4290, Total Reward: 328.98
Episode 4300, Total Reward: 327.78
Episode 4310, Total Reward: 357.24
Episode 4320, Total Reward: 291.30
Episode 4330, Total Reward: 251.51
Episode 4340, Total Reward: 290.46
Episode 4350, Total Reward: 388.43
Episode 4360, Total Reward: 231.00
Episode 4370, Total Reward: 184.77
Episode 4380, Total Reward: 319.48
Episode 4390, Total Reward: 387.26
Episode 4400, Total Reward: 325.58
Episode 4410, Total Reward: 261.42
Episode 4420, Total Reward: 267.53
Episode 4430, Total Reward: 244.31
Episode 4440, Total Reward: 200.59
Episode 4450, Total Reward: 307.94
Episode 4460, Total Reward: 267.22
Episode 4470, Total Reward: 212.36
Episode 4480, Total Reward: 221.30
Episode 4490, Total Reward: 193.93
Episode 4500, Total Reward: 312.64
Episode 4510, Total Reward: 273.75
Episode 4520, Total Reward: 290.26
Episode 4530, Total Reward: 162.43
Episode 4540, Total Reward: 210.11
Episode 4550, Total Reward: 366.48
Episode 4560, Total Reward: 258.40
Episode 4570, Total Reward: 313.46
Episode 4580, Total Reward: 287.11
Episode 4590, Total Reward: 194.22
Episode 4600, Total Reward: 179.12
Episode 4610, Total Reward: 343.15
Episode 4620, Total Reward: 244.21
Episode 4630, Total Reward: 419.92
Episode 4640, Total Reward: 251.66
Episode 4650, Total Reward: 319.57
Episode 4660, Total Reward: 419.54
Episode 4670, Total Reward: 317.50
Episode 4680, Total Reward: 338.03
Episode 4690, Total Reward: 354.36
Episode 4700, Total Reward: 162.44
Episode 4710, Total Reward: 398.59
Episode 4720, Total Reward: 377.08
Episode 4730, Total Reward: 502.95
Episode 4740, Total Reward: 427.64
Episode 4750, Total Reward: 318.46
Episode 4760, Total Reward: 387.38
Episode 4770, Total Reward: 308.89
Episode 4780, Total Reward: 490.40
Episode 4790, Total Reward: 275.89
Episode 4800, Total Reward: 499.85
Episode 4810, Total Reward: 356.86
Episode 4820, Total Reward: 435.57
Episode 4830, Total Reward: 347.43
Episode 4840, Total Reward: 500.47
Episode 4850, Total Reward: 383.30
Episode 4860, Total Reward: 596.64
Episode 4870, Total Reward: 268.86
Episode 4880, Total Reward: 176.35
Episode 4890, Total Reward: 420.99
Episode 4900, Total Reward: 406.19
Episode 4910, Total Reward: 381.94
Episode 4920, Total Reward: 246.87
Episode 4930, Total Reward: 263.17
Episode 4940, Total Reward: 198.76
Episode 4950, Total Reward: 423.00
Episode 4960, Total Reward: 334.51
Episode 4970, Total Reward: 210.37
Episode 4980, Total Reward: 481.28
Episode 4990, Total Reward: 477.32
Episode 5000, Total Reward: 393.09
Episode 5010, Total Reward: 322.60
Episode 5020, Total Reward: 399.98
Episode 5030, Total Reward: 393.92
Episode 5040, Total Reward: 335.78
Episode 5050, Total Reward: 500.53
Episode 5060, Total Reward: 326.49
Episode 5070, Total Reward: 322.69
Episode 5080, Total Reward: 317.85
Episode 5090, Total Reward: 591.79
Episode 5100, Total Reward: 369.48
Episode 5110, Total Reward: 452.55
Episode 5120, Total Reward: 361.18
Episode 5130, Total Reward: 244.82
Episode 5140, Total Reward: 471.27
Episode 5150, Total Reward: 290.57
Episode 5160, Total Reward: 445.20
Episode 5170, Total Reward: 416.17
Episode 5180, Total Reward: 378.14
Episode 5190, Total Reward: 366.90
Episode 5200, Total Reward: 402.33
Episode 5210, Total Reward: 331.11
Episode 5220, Total Reward: 370.44
Episode 5230, Total Reward: 289.29
Episode 5240, Total Reward: 382.79
Episode 5250, Total Reward: 368.67
Episode 5260, Total Reward: 280.88
Episode 5270, Total Reward: 317.92
Episode 5280, Total Reward: 424.38
Episode 5290, Total Reward: 555.18
Episode 5300, Total Reward: 255.73
Episode 5310, Total Reward: 328.45
Episode 5320, Total Reward: 342.18
Episode 5330, Total Reward: 354.13
Episode 5340, Total Reward: 289.72
Episode 5350, Total Reward: 584.63
Episode 5360, Total Reward: 473.15
Episode 5370, Total Reward: 308.97
Episode 5380, Total Reward: 343.59
Episode 5390, Total Reward: 306.25
Episode 5400, Total Reward: 240.48
Episode 5410, Total Reward: 507.41
Episode 5420, Total Reward: 393.88
Episode 5430, Total Reward: 410.19
Episode 5440, Total Reward: 486.05
Episode 5450, Total Reward: 384.66
Episode 5460, Total Reward: 498.84
Episode 5470, Total Reward: 422.41
Episode 5480, Total Reward: 525.12
Episode 5490, Total Reward: 347.05
Episode 5500, Total Reward: 449.61
Episode 5510, Total Reward: 324.95
Episode 5520, Total Reward: 395.32
Episode 5530, Total Reward: 384.11
Episode 5540, Total Reward: 280.48
Episode 5550, Total Reward: 419.80
Episode 5560, Total Reward: 306.23
Episode 5570, Total Reward: 357.59
Episode 5580, Total Reward: 382.76
Episode 5590, Total Reward: 388.14
Episode 5600, Total Reward: 542.86
Episode 5610, Total Reward: 150.29
Episode 5620, Total Reward: 322.21
Episode 5630, Total Reward: 594.81
Episode 5640, Total Reward: 477.95
Episode 5650, Total Reward: 307.46
Episode 5660, Total Reward: 387.78
Episode 5670, Total Reward: 449.00
Episode 5680, Total Reward: 328.66
Episode 5690, Total Reward: 294.16
Episode 5700, Total Reward: 471.23
Episode 5710, Total Reward: 253.16
Episode 5720, Total Reward: 349.98
Episode 5730, Total Reward: 455.24
Episode 5740, Total Reward: 453.01
Episode 5750, Total Reward: 536.46
Episode 5760, Total Reward: 530.29
Episode 5770, Total Reward: 357.99
Episode 5780, Total Reward: 492.00
Episode 5790, Total Reward: 477.32
Episode 5800, Total Reward: 387.94
Episode 5810, Total Reward: 440.75
Episode 5820, Total Reward: 338.99
Episode 5830, Total Reward: 509.27
Episode 5840, Total Reward: 584.20
Episode 5850, Total Reward: 372.35
Episode 5860, Total Reward: 432.73
Episode 5870, Total Reward: 388.10
Episode 5880, Total Reward: 258.97
Episode 5890, Total Reward: 507.57
Episode 5900, Total Reward: 324.36
Episode 5910, Total Reward: 318.29
Episode 5920, Total Reward: 469.05
Episode 5930, Total Reward: 394.17
Episode 5940, Total Reward: 224.30
Episode 5950, Total Reward: 445.47
Episode 5960, Total Reward: 234.87
Episode 5970, Total Reward: 346.87
Episode 5980, Total Reward: 363.95
Episode 5990, Total Reward: 379.23
Episode 6000, Total Reward: 274.74
Episode 6010, Total Reward: 372.95
Episode 6020, Total Reward: 287.79
Episode 6030, Total Reward: 535.64
Episode 6040, Total Reward: 455.34
Episode 6050, Total Reward: 415.07
Episode 6060, Total Reward: 364.97
Episode 6070, Total Reward: 315.37
Episode 6080, Total Reward: 293.62
Episode 6090, Total Reward: 510.80
Episode 6100, Total Reward: 253.67
Episode 6110, Total Reward: 387.06
Episode 6120, Total Reward: 441.96
Episode 6130, Total Reward: 516.92
Episode 6140, Total Reward: 290.05
Episode 6150, Total Reward: 282.43
Episode 6160, Total Reward: 425.41
Episode 6170, Total Reward: 407.12
Episode 6180, Total Reward: 393.33
Episode 6190, Total Reward: 546.11
Episode 6200, Total Reward: 478.82
Episode 6210, Total Reward: 344.32
Episode 6220, Total Reward: 378.83
Episode 6230, Total Reward: 226.95
Episode 6240, Total Reward: 312.37
Episode 6250, Total Reward: 557.57
Episode 6260, Total Reward: 449.72
Episode 6270, Total Reward: 940.50
Episode 6280, Total Reward: 428.08
Episode 6290, Total Reward: 403.05
Episode 6300, Total Reward: 506.51
Episode 6310, Total Reward: 224.36
Episode 6320, Total Reward: 263.87
Episode 6330, Total Reward: 322.26
Episode 6340, Total Reward: 286.29
Episode 6350, Total Reward: 366.32
Episode 6360, Total Reward: 371.05
Episode 6370, Total Reward: 542.67
Episode 6380, Total Reward: 338.92
Episode 6390, Total Reward: 329.87
Episode 6400, Total Reward: 441.01
Episode 6410, Total Reward: 374.70
Episode 6420, Total Reward: 209.82
Episode 6430, Total Reward: 438.10
Episode 6440, Total Reward: 359.92
Episode 6450, Total Reward: 604.96
Episode 6460, Total Reward: 327.63
Episode 6470, Total Reward: 405.93
Episode 6480, Total Reward: 345.21
Episode 6490, Total Reward: 275.39
Episode 6500, Total Reward: 341.65
Episode 6510, Total Reward: 419.19
Episode 6520, Total Reward: 387.44
Episode 6530, Total Reward: 356.78
Episode 6540, Total Reward: 565.29
Episode 6550, Total Reward: 422.42
Episode 6560, Total Reward: 441.09
Episode 6570, Total Reward: 178.86
Episode 6580, Total Reward: 320.78
Episode 6590, Total Reward: 393.64
Episode 6600, Total Reward: 199.06
Episode 6610, Total Reward: 393.86
Episode 6620, Total Reward: 365.00
Episode 6630, Total Reward: 404.04
Episode 6640, Total Reward: 273.67
Episode 6650, Total Reward: 393.98
Episode 6660, Total Reward: 509.15
Episode 6670, Total Reward: 360.15
